city,timestamp,temperature,season
New York,2010-01-01,9.507261835326082,winter
New York,2010-01-02,-1.2347529903242656,winter
New York,2010-01-03,-4.6729292384058585,winter
New York,2010-01-04,6.682023471497455,winter
New York,2010-01-05,-0.10237130178736514,winter
New York,2010-01-06,2.1423052494238926,winter
New York,2010-01-07,5.5136454457742845,winter
New York,2010-01-08,9.56887057964967,winter
New York,2010-01-09,-2.959773527067097,winter
New York,2010-01-10,-2.5451053334495075,winter
New York,2010-01-11,-13.2085262708606,winter
New York,2010-01-12,1.8026397350925094,winter
New York,2010-01-13,-1.7865621107110856,winter
New York,2010-01-14,-7.5292421787672765,winter
New York,2010-01-15,5.868803249927428,winter
New York,2010-01-16,12.592187916974847,winter
New York,2010-01-17,2.4041217299555058,winter
New York,2010-01-18,4.594136677857338,winter
New York,2010-01-19,2.292389059023588,winter
New York,2010-01-20,2.457993612030137,winter
New York,2010-01-21,14.456608767664196,winter
New York,2010-01-22,-1.146315902252344,winter
New York,2010-01-23,-3.1693657987932236,winter
New York,2010-01-24,-0.9753162132634839,winter
New York,2010-01-25,-2.8547296402226423,winter
New York,2010-01-26,-9.36483136328716,winter
New York,2010-01-27,1.8042709394055976,winter
New York,2010-01-28,-6.892261150982909,winter
New York,2010-01-29,5.066268325663099,winter
New York,2010-01-30,6.799986772708691,winter
New York,2010-01-31,-3.0719994674893787,winter
New York,2010-02-01,-0.9210260504394457,winter
New York,2010-02-02,4.7609854387748465,winter
New York,2010-02-03,1.3583629718342385,winter
New York,2010-02-04,3.01269806823258,winter
New York,2010-02-05,-3.2226170697010117,winter
New York,2010-02-06,-5.5709293335687295,winter
New York,2010-02-07,-9.440872909972608,winter
New York,2010-02-08,5.841892567801379,winter
New York,2010-02-09,7.304982600910138,winter
New York,2010-02-10,0.25575290358808267,winter
New York,2010-02-11,2.5801180272079387,winter
New York,2010-02-12,3.7390403842180286,winter
New York,2010-02-13,-1.0608672801576204,winter
New York,2010-02-14,3.8531530603131174,winter
New York,2010-02-15,-6.751509114624325,winter
New York,2010-02-16,2.1132846802496905,winter
New York,2010-02-17,-9.061261703129507,winter
New York,2010-02-18,0.500759801877316,winter
New York,2010-02-19,10.660108304689157,winter
New York,2010-02-20,-0.5421058826147428,winter
New York,2010-02-21,8.798778467959005,winter
New York,2010-02-22,3.627775599140734,winter
New York,2010-02-23,0.6785904008267529,winter
New York,2010-02-24,4.878497158158498,winter
New York,2010-02-25,-3.2721792464469415,winter
New York,2010-02-26,-0.7621479148350035,winter
New York,2010-02-27,-8.469582045436256,winter
New York,2010-02-28,-2.928998352354315,winter
New York,2010-03-01,13.500494200849396,spring
New York,2010-03-02,1.5722928756134735,spring
New York,2010-03-03,5.407483638899037,spring
New York,2010-03-04,4.542539688759484,spring
New York,2010-03-05,1.868714448518729,spring
New York,2010-03-06,4.406881954648643,spring
New York,2010-03-07,7.474946862258882,spring
New York,2010-03-08,8.083727759824244,spring
